episode,total_reward,avg_reward_10,best_reward
1,-0.2,-0.2,-0.2
2,1.4,0.6,0.6
3,-4.1,-0.966666667,0.6
4,1.3,-0.4,0.6
5,1.3,-0.06,0.6
6,1.3,0.166666667,0.6
7,1.3,0.328571429,0.6
8,1.1,0.425,0.6
9,1.3,0.522222222,0.6
10,1.3,0.6,0.6
11,1.3,0.75,0.75
12,1.3,0.74,0.75
13,-1,1.05,1.05
14,1.3,1.05,1.05
15,1.7,1.09,1.09
16,0.5,1.01,1.09
17,1.3,1.01,1.09
18,1.3,1.03,1.09
19,-1.7,0.73,1.09
20,-1.7,0.43,1.09
21,1.3,0.43,1.09
22,1.3,0.43,1.09
23,1.3,0.66,1.09
24,-2.2,0.31,1.09
25,1.1,0.25,1.09
26,1.3,0.33,1.09
27,1.3,0.33,1.09
28,-3.4,-0.14,1.09
29,1.1,0.14,1.09
30,1.3,0.44,1.09
31,1.3,0.44,1.09
32,1.3,0.44,1.09
33,2,0.51,1.09
34,1.3,0.86,1.09
35,1.3,0.88,1.09
36,1.4,0.89,1.09
37,1.3,0.89,1.09
38,-2.1,1.02,1.09
39,1.3,1.04,1.09
40,1.6,1.07,1.09
41,1.4,1.08,1.09
42,1.1,1.06,1.09
43,1.3,0.99,1.09
44,1.1,0.97,1.09
45,1.3,0.97,1.09
46,1.3,0.96,1.09
47,-5.7,0.26,1.09
48,0.2,0.49,1.09
49,1.3,0.49,1.09
50,1.3,0.46,1.09
51,1.6,0.48,1.09
52,1.1,0.48,1.09
53,0.7,0.42,1.09
54,1.3,0.44,1.09
55,0.5,0.36,1.09
56,0.9,0.32,1.09
57,1.1,1,1.09
58,1.3,1.11,1.11
59,-1.6,0.82,1.11
60,1.1,0.8,1.11
61,-0.9,0.55,1.11
62,1.3,0.57,1.11
63,1.3,0.63,1.11
64,1.3,0.63,1.11
65,-1.9,0.39,1.11
66,-1.3,0.17,1.11
67,-0.8,-0.02,1.11
68,0.9,-0.06,1.11
69,1.3,0.23,1.11
70,0.9,0.21,1.11
71,-0.3,0.27,1.11
72,1.3,0.27,1.11
73,0.7,0.21,1.11
74,-1,-0.02,1.11
75,1.3,0.3,1.11
76,0.4,0.47,1.11
77,1.3,0.68,1.11
78,-1.3,0.46,1.11
79,1.7,0.5,1.11
80,1.3,0.54,1.11
81,0.7,0.64,1.11
82,1.3,0.64,1.11
83,1.1,0.68,1.11
84,-1.9,0.59,1.11
85,1.5,0.61,1.11
86,1.3,0.7,1.11
87,1.3,0.7,1.11
88,1.3,0.96,1.11
89,1.1,0.9,1.11
90,0.9,0.86,1.11
91,-2.4,0.55,1.11
92,0.9,0.51,1.11
93,1.3,0.53,1.11
94,1.2,0.84,1.11
95,1.2,0.81,1.11
96,1.3,0.81,1.11
97,1.3,0.81,1.11
98,1.3,0.81,1.11
99,-1.2,0.58,1.11
100,1.1,0.6,1.11
101,1.3,0.97,1.11
102,-1.5,0.73,1.11
103,1.1,0.71,1.11
104,1.3,0.72,1.11
105,1.1,0.71,1.11
106,-1.7,0.41,1.11
107,1.1,0.39,1.11
108,-4.3,-0.17,1.11
109,1.3,0.08,1.11
110,1.3,0.1,1.11
111,1.4,0.11,1.11
112,1.2,0.38,1.11
113,-2.5,0.02,1.11
114,1.3,0.02,1.11
115,-1.6,-0.25,1.11
116,1.3,0.05,1.11
117,1.3,0.07,1.11
118,1.3,0.63,1.11
119,1.3,0.63,1.11
120,0.8,0.58,1.11
121,1.3,0.57,1.11
122,0.9,0.54,1.11
123,1.2,0.91,1.11
124,1.3,0.91,1.11
125,1.3,1.2,1.2
126,1.3,1.2,1.2
127,-3.1,0.76,1.2
128,0.9,0.72,1.2
129,0.7,0.66,1.2
