episode,total_reward,avg_reward_10,best_reward
1,440.0,440.0,440.0
2,440.0,440.0,440.0
3,440.0,440.0,440.0
4,132.0,363.0,440.0
5,88.0,308.0,440.0
6,352.0,315.3333333333333,440.0
7,396.0,326.85714285714283,440.0
8,352.0,330.0,440.0
9,484.0,347.1111111111111,440.0
10,352.0,347.6,440.0
11,308.0,334.4,440.0
12,528.0,343.2,440.0
13,308.0,330.0,440.0
14,484.0,365.2,440.0
15,616.0,418.0,440.0
16,308.0,413.6,440.0
17,264.0,400.4,440.0
18,352.0,400.4,440.0
19,484.0,400.4,440.0
20,132.0,378.4,440.0
21,176.0,365.2,440.0
22,176.0,330.0,440.0
23,440.0,343.2,440.0
24,572.0,352.0,440.0
25,352.0,325.6,440.0
26,352.0,330.0,440.0
27,528.0,356.4,440.0
28,220.0,343.2,440.0
29,352.0,330.0,440.0
30,220.0,338.8,440.0
31,264.0,347.6,440.0
32,220.0,352.0,440.0
33,660.0,374.0,440.0
34,88.0,325.6,440.0
35,528.0,343.2,440.0
36,352.0,343.2,440.0
37,220.0,312.4,440.0
38,264.0,316.8,440.0
39,308.0,312.4,440.0
40,220.0,312.4,440.0
41,352.0,321.2,440.0
42,220.0,321.2,440.0
43,176.0,272.8,440.0
44,308.0,294.8,440.0
45,308.0,272.8,440.0
46,440.0,281.6,440.0
47,176.0,277.2,440.0
48,220.0,272.8,440.0
49,352.0,277.2,440.0
50,132.0,268.4,440.0
51,264.0,259.6,440.0
52,352.0,272.8,440.0
53,220.0,277.2,440.0
54,176.0,264.0,440.0
55,176.0,250.8,440.0
56,308.0,237.6,440.0
57,220.0,242.0,440.0
58,264.0,246.4,440.0
59,88.0,220.0,440.0
60,308.0,237.6,440.0
61,352.0,246.4,440.0
62,528.0,264.0,440.0
63,176.0,259.6,440.0
64,220.0,264.0,440.0
65,176.0,264.0,440.0
66,88.0,242.0,440.0
67,220.0,242.0,440.0
68,132.0,228.8,440.0
69,220.0,242.0,440.0
70,264.0,237.6,440.0
71,132.0,215.6,440.0
72,396.0,202.4,440.0
73,264.0,211.2,440.0
74,132.0,202.4,440.0
75,484.0,233.2,440.0
76,352.0,259.6,440.0
77,220.0,259.6,440.0
78,308.0,277.2,440.0
79,308.0,286.0,440.0
80,132.0,272.8,440.0
81,220.0,281.6,440.0
82,220.0,264.0,440.0
83,528.0,290.4,440.0
84,308.0,308.0,440.0
85,308.0,290.4,440.0
86,528.0,308.0,440.0
87,220.0,308.0,440.0
88,804.0,357.6,440.0
89,220.0,348.8,440.0
90,484.0,384.0,440.0
91,484.0,410.4,440.0
92,308.0,419.2,440.0
93,572.0,423.6,440.0
94,440.0,436.8,440.0
95,264.0,432.4,440.0
96,176.0,397.2,440.0
97,176.0,392.8,440.0
98,572.0,369.6,440.0
99,528.0,400.4,440.0
100,308.0,382.8,440.0
