episode,total_reward,avg_reward_10,best_reward
10,176,176,176
20,308,242,242
30,308,264,264
40,440,308,308
50,308,308,308
60,440,330,330
70,352,333.1428571,333.1428571
80,396,341,341
90,264,332.4444444,341
100,616,360.8,360.8
110,220,365.2,365.2
120,528,387.2,387.2
130,308,387.2,387.2
140,660,409.2,409.2
150,528,431.2,431.2
160,220,409.2,431.2
170,308,404.8,431.2
180,176,382.8,431.2
190,396,396,431.2
200,264,360.8,431.2
210,528,391.6,431.2
220,176,356.4,431.2
230,176,343.2,431.2
240,528,330,431.2
250,176,294.8,431.2
260,528,325.6,431.2
270,220,316.8,431.2
280,220,321.2,431.2
290,308,312.4,431.2
300,352,321.2,431.2
310,528,321.2,431.2
320,176,321.2,431.2
330,616,365.2,431.2
340,264,338.8,431.2
350,308,352,431.2
360,308,330,431.2
370,528,360.8,431.2
380,264,365.2,431.2
390,708,405.2,431.2
400,308,400.8,431.2
410,708,418.8,431.2
420,484,449.6,449.6
430,484,436.4,449.6
440,660,476,476
450,308,476,476
460,528,498,498
470,572,502.4,502.4
480,528,528.8,528.8
490,660,524,528.8
500,484,541.6,541.6
510,660,536.8,541.6
520,352,523.6,541.6
530,440,519.2,541.6
540,660,519.2,541.6
550,660,554.4,554.4
560,352,536.8,554.4
570,440,523.6,554.4
580,660,536.8,554.4
590,132,484,554.4
600,484,484,554.4
