episode,total_reward,avg_reward_10,best_reward
10,308,308,308
20,176,242,308
30,220,234.6666667,308
40,308,253,308
50,264,255.2,308
60,308,264,308
70,132,245.1428571,308
80,440,269.5,308
90,484,293.3333333,308
100,352,299.2,308
110,132,281.6,308
120,220,286,308
130,572,321.2,321.2
140,308,321.2,321.2
150,264,321.2,321.2
160,308,321.2,321.2
170,440,352,352
180,176,325.6,352
190,220,299.2,352
200,352,299.2,352
210,264,312.4,352
220,308,321.2,352
230,572,321.2,352
240,308,321.2,352
250,176,312.4,352
260,132,294.8,352
270,352,286,352
280,528,321.2,352
290,484,347.6,352
300,660,378.4,378.4
310,220,374,378.4
320,176,360.8,378.4
330,396,343.2,378.4
340,88,321.2,378.4
350,484,352,378.4
360,528,391.6,391.6
370,220,378.4,391.6
380,308,356.4,391.6
390,176,325.6,391.6
400,440,303.6,391.6
410,616,343.2,391.6
420,396,365.2,391.6
430,88,334.4,391.6
440,528,378.4,391.6
450,264,356.4,391.6
460,264,330,391.6
470,264,334.4,391.6
480,176,321.2,391.6
490,484,352,391.6
500,264,334.4,391.6
510,484,321.2,391.6
520,396,321.2,391.6
530,440,356.4,391.6
540,660,369.6,391.6
550,396,382.8,391.6
560,660,422.4,422.4
570,308,426.8,426.8
580,396,448.8,448.8
590,572,457.6,457.6
600,484,479.6,479.6
