episode,total_reward,avg_reward_10,best_reward
1,308.0,308.0,308.0
2,176.0,242.0,308.0
3,220.0,234.66666666666666,308.0
4,308.0,253.0,308.0
5,264.0,255.2,308.0
6,308.0,264.0,308.0
7,132.0,245.14285714285714,308.0
8,440.0,269.5,308.0
9,484.0,293.3333333333333,308.0
10,352.0,299.2,308.0
11,132.0,281.6,308.0
12,220.0,286.0,308.0
13,572.0,321.2,321.2
14,308.0,321.2,321.2
15,264.0,321.2,321.2
16,308.0,321.2,321.2
17,440.0,352.0,352.0
18,176.0,325.6,352.0
19,220.0,299.2,352.0
20,352.0,299.2,352.0
21,264.0,312.4,352.0
22,308.0,321.2,352.0
23,572.0,321.2,352.0
24,308.0,321.2,352.0
25,176.0,312.4,352.0
26,132.0,294.8,352.0
27,352.0,286.0,352.0
28,528.0,321.2,352.0
29,484.0,347.6,352.0
30,660.0,378.4,378.4
31,220.0,374.0,378.4
32,176.0,360.8,378.4
33,396.0,343.2,378.4
34,88.0,321.2,378.4
35,484.0,352.0,378.4
36,528.0,391.6,391.6
37,220.0,378.4,391.6
38,308.0,356.4,391.6
39,176.0,325.6,391.6
40,440.0,303.6,391.6
41,616.0,343.2,391.6
42,396.0,365.2,391.6
43,88.0,334.4,391.6
44,528.0,378.4,391.6
45,264.0,356.4,391.6
46,264.0,330.0,391.6
47,264.0,334.4,391.6
48,176.0,321.2,391.6
49,484.0,352.0,391.6
50,264.0,334.4,391.6
51,484.0,321.2,391.6
52,396.0,321.2,391.6
53,440.0,356.4,391.6
54,660.0,369.6,391.6
55,396.0,382.8,391.6
56,660.0,422.4,422.4
57,308.0,426.8,426.8
58,396.0,448.8,448.8
59,572.0,457.6,457.6
60,484.0,479.6,479.6
61,308.0,462.0,479.6
62,440.0,466.4,479.6
63,308.0,453.2,479.6
64,264.0,413.6,479.6
65,440.0,418.0,479.6
66,572.0,409.2,479.6
67,528.0,431.2,479.6
68,396.0,431.2,479.6
69,220.0,396.0,479.6
70,616.0,409.2,479.6
71,440.0,422.4,479.6
72,484.0,426.8,479.6
73,756.0,471.6,479.6
74,660.0,511.2,511.2
75,616.0,528.8,528.8
76,396.0,511.2,528.8
77,352.0,493.6,528.8
78,572.0,511.2,528.8
79,528.0,542.0,542.0
80,308.0,511.2,542.0
81,220.0,489.2,542.0
82,616.0,502.4,542.0
83,264.0,453.2,542.0
84,176.0,404.8,542.0
85,396.0,382.8,542.0
86,616.0,404.8,542.0
87,176.0,387.2,542.0
88,660.0,396.0,542.0
89,308.0,374.0,542.0
90,352.0,378.4,542.0
91,264.0,382.8,542.0
92,396.0,360.8,542.0
93,264.0,360.8,542.0
94,220.0,365.2,542.0
95,176.0,343.2,542.0
96,572.0,338.8,542.0
97,396.0,360.8,542.0
98,220.0,316.8,542.0
99,220.0,308.0,542.0
100,220.0,294.8,542.0
